Legislation,Offence
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S25,Sexual exposure to a young child
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S26,Voyeurism towards a young child
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S28,Having intercourse with an older child
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S29,Engaging in penetrative sexual activity with or towards an older child
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S30,Engaging in sexual activity with or towards an older child
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S31,Causing an older child to engage in sexual activity
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S32,Causing an older child to be present during a sexual activity
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S33,Causing an older child to look at a sexual image
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S34,Communicating indecently with an older child etc.
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S35,Sexual exposure to an older child
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S36,Voyeurism towards an older child
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S42,Sexual abuse of trust
SEXUAL OFFENCES (SCOTLAND) ACT 2009 S46,Sexual abuse of trust of a mentally disordered person
SLAVE TRADE ACT 1824 S.10,"Dealing in slaves - import/export, move, detain, tranship slaves.  Fit out /employ ship of boat for dealing in slaves"
SLAVE TRADE ACT 1824 S.11,Person working as a sailor or in any other capacity on a ship or boat used for the trading in slaves
"SOCIAL WORK (SCOTLAND) ACT 1968, S6(5)",Obstruction of exercise of power of entry or inspection under this section
"SOCIAL WORK (SCOTLAND) ACT 1968, S17(8)",Harbouring
"SOCIAL WORK (SCOTLAND) ACT 1968, S60(3)",Control of residential and other establishments
"SOCIAL WORK (SCOTLAND) ACT 1968, S61",Restriction on carrying on of establishments
"SOCIAL WORK (SCOTLAND) ACT 1968, S62",Offences relating to the registration of residential and other establishments
"SOCIAL WORK (SCOTLAND) ACT 1968, S68(3)",Obstruction of exercise of power under this section (visiting of persons in establishments on behalf of local authorities)
"SOCIAL WORK (SCOTLAND) ACT 1968, S71",Harbouring
TAKING OF HOSTAGES ACT 1982 (TH82) S.1,Detaining and threatening to kill a hostage
TAKING OF HOSTAGES ACT 1982 (TH82) S.1,Detaining and threatening to injure a hostage
TAKING OF HOSTAGES ACT 1982 (TH82) S.1,Detaining and threatening to continue to detain a hostage
TERRORISM ACT 2000 (PT00) S.11,Belongs or professes to belong to a proscribed organisation
TERRORISM ACT 2000 (PT00) S.12,"Inviting, arranging, encouraging non-financial support for proscribed organisation"
TERRORISM ACT 2000 (PT00) S.15,"Inviting, receiving, providing money or property for terrorism"
TERRORISM ACT 2000 (PT00) S.16,Using or possessing money for terrorism
TERRORISM ACT 2000 (PT00) S.17,Arranging money or other property to be made available for terrorism
TERRORISM ACT 2000 (PT00) S.18,Money laundering
TERRORISM ACT 2000 (PT00) S.38B,Failing to disclose information about act of terrorism
TERRORISM ACT 2000 (PT00) S.39,Disclosing or interfering with terrorist investigation material
TERRORISM ACT 2000 (PT00) S.54,Providing instruction or inviting another to receive instruction in weapon training (terrorism)
TERRORISM ACT 2000 (PT00) S.54(1),Terrorism - provide weapons training /instruction
TERRORISM ACT 2000 (PT00) S.54(3),Terrorism - invite another to receive weapons instruction/ training
TERRORISM ACT 2000 (PT00) S.56,Directing terrorist organisation
TERRORISM ACT 2000 (PT00) S.57(1),Possess article for the purpose of terrorism
TERRORISM ACT 2000 (PT00) S.58,"Collecting, recording, possessing record of information likely to be useful to a terrorist"
TERRORISM ACT 2000 (PT00) S.59,Inciting terrorism overseas
TERRORISM ACT 2000 (PT00) S.60,Inciting terrorism overseas
TERRORISM ACT 2000 (PT00) SCH 4 PARA 37 ,Breach of high court restraint order
TERRORISM ACT 2006 (TR06) S.1,Publishing statement encouraging terrorism
TERRORISM ACT 2006 (TR06) S.2,Disseminating terrorist publications
TERRORISM ACT 2006 (TR06) S.10(1)+S.10(3),Use radioactive device/material in course of/in connection with commission/ purposes of terrorism
TERRORISM ACT 2006 (TR06) S.10(2)+S.10(3),Course of/connection with terrorism use/damage nuclear facility cause/risk release of radioactive material
TERRORISM ACT 2006 (TR06) S.11(1),Terrorist make demand relating to devices/materials/facilities
TERRORISM ACT 2006 (TR06) S.11(2),Terrorist make threat to use radioactive device/material
TERRORISM ACT 2006 (TR06) S.5,Engage in conduct in preparation for terrorist acts
TERRORISM ACT 2006 (TR06) S.6(1)+S.6(5),Provide instruction/training for terrorism
TERRORISM ACT 2006 (TR06) S.6(2)+S.6(5),Receive instruction/training for terrorism
TERRORISM ACT 2006 (TR06) S.9(1)(A)+S.9(3),Make/possess radioactive device with intent to use it in commission of or in preparation for terrorism
TERRORISM ACT 2006 (TR06) S.9(1)(B)+S.9(3),Possess radioactive material with intent to use it in commission of or preparation for terrorism
THEFT ACT 1968 S9(1)(A),Burglary with intent to commit rape before s9(1)(a) was amended by the Sexual Offences Act 2003
THEFT ACT (NORTHERN IRELAND) 1969 S.10(1),Aggravated burglary (comprising commission of offence - in dwelling)
THEFT ACT (NORTHERN IRELAND) 1969 S.10(1),Aggravated burglary (comprising commission of offence - other than in dwelling)
THEFT ACT (NORTHERN IRELAND) 1969 S.10(1),Aggravated burglary intent to commit offence - in dwelling
THEFT ACT (NORTHERN IRELAND) 1969 S.10(1),Aggravated burglary intent to commit offence - other than in dwelling
THEFT ACT (NORTHERN IRELAND) 1969 S.8(1),Robbery - stealing with use of force or  putting victim in fear of use of force / assault w/i to rob
THEFT ACT (NORTHERN IRELAND) 1969 S.9(1),Burglary with intent to inflict GBH - in dwelling
THEFT ACT (NORTHERN IRELAND) 1969 S.9(1),Burglary with intent to inflict GBH - other than in dwelling
THEFT ACT (NORTHERN IRELAND) 1969 S.9(1),Burglary with intent to rape - in dwelling
THEFT ACT (NORTHERN IRELAND) 1969 S.9(1),Burglary with intent to rape - other than in dwelling
THEFT ACT (NORTHERN IRELAND) 1969 S.9(1),Burglary with intent to cause unlawful damage - in dwelling
THEFT ACT (NORTHERN IRELAND) 1969 S.9(1),Burglary with intent to cause unlawful damage - other than in dwelling
TOWN POLICE CLAUSES ACT 1847 S. 28,Wilful and indecent exposure.  Not limited to women and children
TUMULTUOUS RISINGS (IRELAND) ACT 1831 S.2,Assembling in a manner to compel a person by force/threats/menaces to compel him to leave his home
TUMULTUOUS RISINGS (IRELAND) ACT 1831 S.2 ,Assembling in a manner to compel a person by force/threats/menaces to compel him to leave his employment
TUMULTUOUS RISINGS (IRELAND) ACT 1831 S.2 ,Assembling in a manner  to maliciously damage  the house/lands/property of a person
TUMULTUOUS RISINGS (IRELAND) ACT 1831 S.3,Printing/writing/posting/circulating/sending/delivering inflammatory notices/ letters/messages to excite a riot or tumultuous /unlawful assembly 
UNLAWFUL DRILLING ACT 1819 S1,Drilling/attendance at drilling
VIOLENT CRIME REDUCTION ACT 2006 SCH1  PARA1,"Using another person to mind or transport a dangerous weapon (firearms, knives etc.) For unlawful use"
WIRELESS TELEGRAPHY ACT 2006 S.47,Send false/misleading wireless message suggesting ship or aircraft in distress/need of assistance likely to prejudice the efficiency/safety of a lifesaving service/endanger the safety of a person/ship/aircraft/vehicle
VAGRANCY ACT 1824 S.4,Exposure with intent to insult female
VAGRANCY ACT 1898 S1,Living on earnings of prostitution; soliciting or importuning in public place
